Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
Mohamed El Hachimi,,Morocco,,,Long distance,,2012,6 months,,,,,Methylhexaneamine,,
Mohamed El Hachimi,,Morocco,,,Long distance,,2014,6 years,,,,,CERA,,
Fouad Elkaam,,Morocco,,,Middle distance,,2011,6 months,,,,,Methylhexaneamine,,
Saida El Mehdi,,Morocco,,,Middle distance,,2009,2 years,,,,,Stanozolol,,
Rkia El Moukim,,Morocco,,,Long distance,,2011,2 years,,,,,Biological passport,,
Najim El Qady,,Morocco,,,Long distance,,2011,2 years,,,,,Biological passport,,
Stanislav Emelyanov,,Russia,,,Race walking,,2010,2 years,,,,,Biological passport,,
Alene Emere,,Ethiopia,,,Long distance,,2002,2 years,,,,,Nandrolone,,
Ivan Emilianov,,Moldova,,M,Shot put,,18/06/2011,2 years,20/07/2013,,,,"Metenolone,Stanozolol",,
Meryem Erdogan,,Turkey,,M,Long distance,,2010,2 years,14/02/2014,,,,Biological passport,,
Mostafa Errebbah,,Italy,,,Long distance,,2004,2 years,,,,,Stanozolol,,
Wilson Loyanae Erupe,,Kenya,,,Long distance,,2012,2 years,,,,,EPO,,
Fatih Eryildirim,,Turkey,,,Hammer throw,,2013,2 years and 6 months,,,,,"Stanozolol, Dehydrochloromethyltestosterone",,
Nilay Esen,,Turkey,,,Long distance,,2005,2 years,,,,,Metenolone,,
Alisher Eshbekov,,Russia,,,Hammer throw,,,,,,,,Anabolic steroid,,
Ridouane Es-Saadi,,Belgium,,,Middle/Long distance,,2004,6 months,,,,,"Trafficking, use, possession",,
Ridouane Es-Saadi,,Belgium,,,Middle/Long distance,,2006,Life ban,,,,,Methandienone,,
Latifa Essarokh,,France,,,Middle distance,,2006,2 years,,,,,Stanozolol,,
Lee Evans,,United States,,,Coach,,2013,4 years,,,,,,,
Davidson Ezinwa,,Nigeria,,,Sprinting,,1996,3 months,,,,,Ephedrine,,
Davidson Ezinwa,,Nigeria,,,Sprinting,,1999,2 years,,,,,hCG,,
Osmond Ezinwa,,Nigeria,,,Sprinting,,1996,3 months,,,,,Ephedrine,,
Hamid Ezzine,,Morocco,,,Steeplechase,,2009,2 years,,,,,"Refusal to submit to doping control, Tampering with test",,
Martin Fagan,,Ireland,,M,"Marathon, half-marathon",,10/12/2011,2 years,02/12/2013,,,,EPO,,
Ahmed Faiz,,Saudi Arabia,,,Long jump,,2010,2 years,,,,,Amphetamines,,
Sandra Farmer-Patrick,,United States,,,Hurdling,,1996,,,,,,Testosterone,,
Robert Fazekas,,Hungary,,M,Discus throw,,2004,2 years,,,,,Failing to provide urine sample,,
Robert Fazekas,,Hungary,,M,Discus throw,,16/06/2012,6 years (REDUCED FROM 8 YEARS),05/07/2018,,,,Stanozolol,,
Surita Febbraio,,South Africa,,,Hurdling,,2005,2 years,,,,,Testosterone,,
Agustin Felix,,Spain,,,Decathlon,,2011,2 years,,,,,Drostanolone,,
Paquillo Fernandez,,Spain,,,Race walk,,2010,2 years,,,,,Possession of undisclosed banned substances,,
Ricardo Fernandez,,Spain,,,Middle/Long distance,,2004,2 years,,,,,EPO,,
Ricardo Fernandez,,Spain,,,Middle/Long distance,,2006,2 years,,,,,Finasteride,,
Elena Fidatov,,Romania,,,Middle/Long distance,,1998,2 years,,,,,Nandrolone,,
Nicolas Figäre,,France,,,Hammer throw,,2007,"1 month, public warning",,,,,Cathine,,
Konstadinos Filippidis,,Greece,,,Pole vault,,2007,2 years,,,,,Etilephrine,,
Yuliya Fomenko,,Russia,,,Middle distance,,2007,33 months,,,,,Fraudulent substitution of urine,,
Greg Foster,,United States,,,Hurdling,,1990,6 months,,,,,"Pseudoephedrine, Ephedrine, Phenylpropanolamine",,
Allodin Fothergill,,Jamaica,,,Sprinting,,2009,3 months,,,,,4-Methyl-2-hexanamine,,
Cecilia Francis,,Nigeria,,,Sprinting,,2013,1 year,,,,,Metenolone,,
Shelly-Ann Fraser,,Jamaica,,,Sprinting,,2010,6 months,,,,,Oxycodone,,
Brian Frasure,,United States,,,Sprinting,,2000,4 years,,,,,Nandrolone,,
Jake Freeman,,United States,,,Hammer throw,,2009,Public warning,,,,,Cannabis,,
Jake Freeman,,United States,,,Hammer throw,,2011,1 year,,,,,Cannabis,,
Margarita Fuentes-Pila,,Spain,,,Middle distance,,2015,6 months,,,,,,,
Ruth Fuchs,,East Germany,,,Javelin throw,,1970's,?,,,,,Anabolic steroids (self-admitted),,
Chryste Gaines,,United States,,,Sprinting,,2003,Public warning,,,,,Modafinil (positive test),,
Chryste Gaines,,United States,,,Sprinting,,2005,2 years,,,,,THG (investigation:BALCO),,
Anton Galkin,,Russia,,,Sprinting,,2004,2 years,,,,,Stanozolol,,
Miguel Angel Gamonal,,Spain,,,Half marathon,,2013,2 years,,,,,Clenbuterol,,
Miguel Angel Gamonal,,Spain,,,Half marathon,,2015,3 years,,,,,Biological passport,,
Alberto Garcia,,Spain,,,"Long distance, cross country",,2003,2 years,,,,,EPO,,
Sandra Gasser,,Switzerland,,,Middle distance,,1987,2 years,,,,,Steroids,,
Justin Gatlin,,United States,,,Sprinting,,2001,1 year(Reduced from 2 years),,,,,Amphetamine,,
Justin Gatlin,,United States,,,Sprinting,,2006,4 years,,,,,Testosterone,,
Tyson Gay,,United States,,,Sprinting,,2013,1 year,,,,,Positive test: Exogenous anabolic-androgenic steroid,,
Tyson Gay,,United States,,,Sprinting,,2012?2013,,,,,,Investigation/Admittance,,
Tibor Gecsek,,Hungary,,,Hammer throw,,1995,2 years(Reduced from 4 years),,,,,Anabolic steroids,,
Ines Geipel,,East Germany,,,Sprinting,,1980's,?,,,,,Turinabol(self-admitted),,
Shitaye Gemechu,,Ethiopia,,,Long distance,,2009,2 years,,,,,EPO,,
Ivan Gertlein,,Russia,,,Pole vault,,2012,2 years,,,,,Testosterone,,
Nordine Gezzar,,France,,,Middle/Long distance,,2006,2 years,,,,,"Finasteride, nandrolone",,
Nordine Gezzar,,France,,,Middle/Long distance,,17/06/2012,10 years,12/07/2022,,,,EPO,,
Rachid Ghanmouni,,Morocco,,,Long distance,,2006,2 years,,,,,Evading doping control,,
Ruqaya Al-Ghasra,,Bahrain,,,Sprinting,,2009,2 years,,,,,Epitestosterone,,
Alina Gherasin,,Romania,,,Long distance,,2002,2 years,,,,,Anabolic steroids,,
(Alina Tecuta),,Romania,,,Long distance,,2002,2 years,,,,,Anabolic steroids,,
Bouchra Ghezielle,,France,,,Middle distance,,2008,4 years,,,,,EPO,,
Patricia Girard,,France,,,Sprinting,,1990,2 years,,,,,Primobolan(anabolic steroid),,
Sandra Glover,,United States,,,Sprinting,,2003,Disqualification and public warning,,,,,Modafinil,,
Geronimo Goeloe,,Netherlands Antilles,,,Sprinting,,2008,2 years,,,,,Stanozolol,,
Thomas Goller,,Germany,,,Hurdling,,2010,2 years,,,,,"Boldenone, SARMs",,
Olga Golovkina,,Russia,,,Long distance,,2013,2 years,,,,,Dehydrochloromethyltestosterone,,
Vanda Gomes,,Brazil,,,Sprinting,,2014,2 years,,,,,Anastrozole,,
Yekaterina Gordiyenko,,Soviet Union,,,Pentathlon,,1978,18 months,,,,,Anabolic steroids,,
Agnieszka Gortel-Maciuk,,Poland,,,Marathon/Half marathon,,2013,2 years,,,,,"Testosterone, DHEA",,
Anastasios Gousis,,Greece,,,Sprinting,,2008,2 years,,,,,Methyltrienolone,,
Abderrahim Goumri,,Morocco,,M,Marathon,,2009,4 years,14/03/2016,,,,"Biological passport - IAAF Rule 32.2b Use/attempted use
of a prohibited substance/method",,
Eva-Maria Gradwohl,,Austria,,,Long distance,,2010,2 years,,,,,Refusal to submit to doping control,,
Stephanie Graf,,Austria,,,Middle distance,,2003,2 years,,,,,Attempted use of a prohibited method (Humanplasma scandal),,
Trevor Graham,,United States,,,Coach,,,Life ban,,,,,"Possession, trafficking, and administration of performance-enhancing drugs, and assisting, encouraging, aiding and abetting anti-doping rule violations",,
Mike Gravelle,,United States,,,Discus throw,,1995,,,,,,Testosterone,,
Rob Gray,,Canada,,,Discus throw,,,Lost national record,,,,,Self admittance Anabolic Steroids,,
Bill Green,,United States,,,Hammer throw,,1987,2 years,,,,,Testosterone,,
Yelizaveta Grechishnikova,,Russia,,,Long distance,,2009,2 years,,,,,Biological passport,,
Anri Grigorov,,Bulgaria,,,Sprinting,,1990,,,,,,,,
Lidiya Grigoryeva,,Russia,,,Long distance,,2009,2 years and 6 months,,,,,Biological passport,,
Yekaterina Grigoryeva,,Russia,,,Sprinting,,2001,2 years,,,,,,,
(Yekaterina Leshcheva),,Russia,,,Sprinting,,2001,2 years,,,,,,,
Nataliya Grygoryeva,,Soviet Union,,,Hurdling,,,,,,,,,,
Mickey Grimes,,United States,,,Sprinting,,2003,Public warning,,,,,Ephedrine,,
Mickey Grimes,,United States,,,Sprinting,,2004,2 years,,,,,Norandrosterone,,
Yelena Gulyayeva,,Russia,,,High jump,,1991,2 years,,,,,,,
Anna Gurova,,Russia,,F,Sprinting,,22/07/2011,2 years,08/08/2013,,,,Methyltestosterone,,
Andreas Gustafsson,,Sweden,,,Race walk,,2014,2 years,,,,,EPO,,
Abdelhadi Habassa,,Morocco,,,Long distance,,2008,2 years,,,,,Norandrosterone,,
Milan Haborak,,Slovakia,,,Shot put,,2004,2 years,,,,,Hormones,,
Milan Haborak,,Slovakia,,,Shot put,,2010,Life ban,,,,,Stanozolol,,
Abdelkader Hachlaf,,Morocco,,,Middle distance,,2004,2 years,,,,,EPO,,
Halima Hachlaf,,Morocco,,,Long-distance,,2013,4 years,,,,,Biological passport,,
Mohamed El Hachimi,,Morocco,,,Long distance,,2014,6 years,,,,,CERA,,
Semoy Hackett,,Trinidad and Tobago,,,Sprinting,,2011,6 months,,,,,Methylhexaneamine,,
Semoy Hackett,,Trinidad and Tobago,,,Sprinting,,2012,2 years and 4 months,,,,,Methylhexaneamine,,
Mohammad Noor Imran Abdul Hadi,,Malaysia,,,Sprinting,,2011,2 years,,,,,Evading doping control,,
Vesteinn Hafsteinsson,,Iceland,,,Discus throw,,1984,2 years,,,,,Nandrolone,,
Linda Haglund,,Sweden,,,Sprinting,,1981,18 months,,,,,Anabolic steroids,,
Abdellah Haidane,,Italy,,,Middle distance,,2014,4 months,,,,,Tuaminoheptane,,
Fatima Hajjami,,France,,,Long distance,,2003,2 years,,,,,Stanozolol,,
Fani Halkia,,Greece,,,Hurdling,,2008,2 years,,,,,Methyltrienolone,,
Hussain Al-Hamdah,,Saudi Arabia,,,Long distance,,2009,2 years and 6 months,,,,,Biological passport,,
Tetyana Hamera-Shmyrko,,Ukraine,,,Long distance,,2011,4 years,,,,,Biological passport,,
Tahesia Harrigan-Scott,,British Virgin Islands,,,Sprinting,,2011,6 months,,,,,Methylhexaneamine,,
Alvin Harrison,,United States,,,Sprinting,,2004,4 years,,,,,BALCO scandal:,,
Alvin Harrison,,United States,,,Sprinting,,,,,,,,"Anabolic steroids, insulin, HgH, EPO & modafinil",,
Calvin Harrison,,United States,,,Sprinting,,1993,3 months,,,,,Pseudoephedrine,,
Calvin Harrison,,United States,,,Sprinting,,2003,2 years,,,,,Modafinil,,
Ridouane Harroufi,,Morocco,,,Long distance,,2013,2 years,,,,,EPO,,
Barakat Al-Harthi,,Oman,,,Sprinting,,2011,6 months,,,,,Methylprednisolone,,
Kjell Ove Hauge,,Norway,,,"Discus throw, shot put",,1998,18 months,,,,,Metandienone,,
Ahmad Hazer,,Lebanon,,,110 m hurdles,,2013,2 years,,,,,Metenolone,,
Floyd Heard,,United States,,,Sprinting,,2000,Public warning,,,,,,,
Sabine Heitling,,Brazil,,,Steeplechase,,2013,1 year,,,,,Methylhexaneamine,,
Eddy Hellebuyck,,United States,,,Long distance,,2004,2 years,,,,,EPO,,
Anca Heltne,,Romania,,,Shot put,,2010,2 years,,,,,Stanozolol,,
Anca Heltne,,Romania,,,Shot put,,2014,8 years,,,,,Methandienone & Dehydrochloromethyltestosterone,,
Geraldine Hendricken,,Ireland,,,Middle distance & Cross Country,,2004,2 years,,,,,19-norandrosterone,,
Adrrienne Herzog,,Netherlands,,,Long distance,,2014,2 years,,,,,Testosterone,,
Ivan Hierro,,Spain,,,Long distance,,2014,2 years,,,,,Possession of a prohibited substance,,
Claus Hirsbro,,Denmark,,,Sprinting,,1996,2 years,,,,,Stanozolol,,
Claus Hirsbro,,Denmark,,,Sprinting,,2000,Life ban,,,,,Nandrolon,,
Hassan Hirt,,France,,,Long distance,,2012,2 years,,,,,EPO,,
Knut Hjeltnes,,Norway,,,"Discus throw, shot put",,1977,1 year,,,,,Anabolic steroids,,
Gergely Horv†th,,Hungary,,,Javelin throw,,2006,2 years,,,,,Boldenone,,
Hristoforos Hoidis,,Greece,,,Sprinting,,2005,2 years,,,,,Tamoxiphen,,
Seppo Hovinen,,Finland,,,Javelin throw,,1977,1 year,,,,,Anabolic steroids,,
Sue Howland,,Australia,,,Javelin throw,,1987,2 years,,,,,Anabolic steroids,,
Yu-Fang Hsu,,Chinese Taipei,,,Marathon,,23/10/2011,2 years,22/10/2013,,,,EPO,,
Huang Qun,,China,,,Discus throw,,2006,2 years,,,,,Stanozolol,,
C.J. Hunter,,United States,,,Shot put,,2000,2 years,,,,,Nandrolone,,
Liza Hunter-Galvan,,New Zealand,,,Marathon,,2009,2 years,,,,,EPO,,
Marwa Hussein,,Egypt,,,Hammer throw,,2010,Two-year ban,,,,,Stanozolol,,
Victor Hogan,,South Africa,,,Discus throw,,2016,9 month ban,,,,,Methylhexanamine,,
Monica Iagar,,Romania,,,High jump,,1996,6 months,,,,,,,
Abdulagadir Idriss,,Sudan,,,Sprinting,,2005,2 years,,,,,Norandrosterone,,
Samson Idiata,,Nigeria,,,Long jump,,2015,4 years,,,,,Clenbuterol,,
Gulustan Ieso,,Iraq,,,Sprtinting,,2011,1 year,,,,,Methylhexaneamine,,
Kirill Ikonnikov,,Russia,,,Hammer throw,,2012,2 years,,,,,Dehydrochloromethyltestosterone,,
Chidi Imoh,,Nigeria,,,Sprinting,,1994,4 years,,,,,,,
Cristinel Irimia,,Romania,,,Long distance,,2014,2 years,,,,,Exogenous steroids,,
Ekaterina Ishova,,Russia,,,Middle/Long distance,,2011,2 years,,,,,Biological passport,,
(Ekaterina Gorbunova),,Russia,,,Middle/Long distance,,2011,2 years,,,,,Biological passport,,
Daniel Ivanov,,Bulgaria,,,Long jump,,1993,,,,,,Amphetamine,,
Lyubov Ivanova,,Russia,,,Steeplechase,,2006,2 years,,,,,Methyltestosterone,,
(Lyubov Kharlamova),,Russia,,,Steeplechase,,2006,2 years,,,,,Methyltestosterone,,
Olimpiada Ivanova,,Russia,,,Race walking,,1997,2 years,,,,,Stanazolol,,
Kathy Jager,,United States,,F,,,29/06/2011,2 years,25/09/2013,,,,Hydrochlorothiazide & Chlorothiazide,,
Regina Jacobs,,United States,,,Middle distance,,2003,4 years,,,,,THG,,
Norjannah Hafiszah Jamaludin,,Malaysia,,,Sprinting,,2011,2 years,,,,,Evading doping control,,
Patrick Jarrett,,Jamaica,,,Sprinting,,2001,2 years,,,,,Stanozolol,,
Helena Javornik,,Slovenia,,,Middle/Long distance,,2008,2 years,,,,,EPO,,
Mark Jelks,,United States,,,Sprinting,,2010,2 year ban,,,,,3 Whereabouts failures,,
Cordera Jenkins,,United States,,,Hurdling,,2006,Public warning,,,,,Cannabis,,
Rita Jeptoo,,Kenya,,,Marathon,,2014,2 years,,,,,EPO,,
Agatha Jeruto Kimaswai,,Kenya,,,Middle distance,,2015,4 years,,,,,Norandrosterone,,
Olivera Jevtic,,Yugoslavia,,,Long distance,,2002,Public warning and disqualification from the 2002 New York City Marathon,,,,,Ephedrine,,
Antonio David Jiminez,,Spain,,,Steeplechase,,2014,3 years,,,,,Possession of a prohibited substance,,
Ben Johnson,,Canada,,,Sprinting,,1988,2 years,,,,,Positive test :Stanozolol,,
Ben Johnson,,Canada,,,Sprinting,,1989,,,,,,Self admittance: Steroids (1982?1988),,
Ben Johnson,,Canada,,,Sprinting,,1993,Life ban,,,,,Testosterone,,
Ben Johnson,,Canada,,,Sprinting,,1999,,,,,,Hydrochlorothiazide,,
Gea Johnson,,United States,,,Heptathlon,,1994,4 years,,,,,Anabolic steroids,,
Marion Jones,,United States,,,Sprinting/Long jump,,2000?2006,2 years,,,,,THG (investigation > admittance),,
LaVerne Jones-Ferrette,,United States Virgin Islands,,,Sprinting,,2010,6 months,,,,,Clomiphene,,
Sini Jose,,India,,F,Sprinting,,12/06/2011,2 years,30/06/2013,,,,Methandienone,,
Milan Jotanovic,,Serbia,,,Shot put,,2008,8 months,,,,,Salbutamol,,
Dariusz Juzyszyn,,Poland,,,Discus throw,,1983,,,,,,,,
Robert Kajuga,,Rwanda,,,Long distance,,2015,4 years,,,,,Refusal,,
Abubaker Ali Kamal,,Qatar,,,Middle distance,,2011,2 years,,,,,EPO,,
Pauline Kahenya,,Kenya,,,Long distance,,2013,1 year,,,,,Prednisone & Prednisolone,,
Alissa Kallinikou,,Cyprus,,,Sprinting,,2008,2 years,,,,,Testosterone,,
Tayeb Kalloud,,Algeria,,,Long distance,,2008,2 years,,,,,Norandrosterone,,
Svetlana Kanatova,,Russia,,,Middle distance,,,,,,,,,,
Vladimir Kanaykin,,Russia,,,Race walking,,2008,2 years,,,,,EPO,,
Vladimir Kanaykin,,Russia,,,Race walking,,2011,8 years,,,,,Biological passport,,
Olga Kaniskina,,Russia,,,Race walking,,2009,3 years and 2 months,,,,,Biological passport,,
Adil Kaouch,,Morocco,,,Middle distance,,2007,2 years,,,,,EPO,,
Anastasiya Kapachinskaya,,Russia,,,Sprinting,,2004,2 years,,,,,Stanozolol,,
Julien Kapek,,France,,,Triple jump,,2009,1 year,,,,,3 Whereabouts Failures within 18-month period,,
Natallia Kareiva,,Belarus,,,Middle distance,,2010,2 years,,,,,Biological passport,,
Halina Karnatsevich,,Belarus,,,Long distance,,2006,2 years,,,,,Stanozolol,,
Yanina Karolchyk-Pravalinskaya,,Belarus,,,Shot put,,2003,2 years,,,,,Clenbuterol,,
Mandeep Kaur,,India,,F,Sprinting,,25/05/2011,2 years,23/06/2013,,,,Stanozolol & Methandienone,,
Ali Ekber Kayas,,Turkey,,,Sprinting,,2012,2 years,,,,,Oxandrolone,,
Tatyana Kazankina,,Soviet Union,,,Middle distance,,1984,18 months,,,,,Refusal to submit to doping control,,
Heni Kechi,,France,,,Sprinting,,2007,3 months,,,,,Cannabis,,
Lisa Kehler,,Great Britain,,F,Race walking,,2007,Public warning,,,,,Terbutaline,,
Naman Keita,,France,,,"Hurdling, sprinting",,2007,2 years,,,,,Testosteroneprecursors,,
Gloria Kemasuode,,Nigeria,,,Sprinting,,2009,2 years,,,,,Metenolone & ephedrine,,
(Gloria Ubiebor),,Nigeria,,,Sprinting,,2009,2 years,,,,,Metenolone & ephedrine,,
Simon Kemboi,,Kenya,,,Sprinting,,2000,,,,,,Nandrolone,,
Kostas Kenteris,,Greece,,,Sprinting,,2004,,,,,,Evasion of doping control,,
Kamy Keshmiri,,United States,,,Discus throw,,1992,,,,,,Methandienone,,
Atalelech Ketema,,United States,,,Marathon,,2014,2 years,,,,,Ephedrine,,
Meryem Khali,,Morocco,,,Long distance,,2012,2 years,,,,,Norandrosterone,,
Gulfiya Khanafeyeva,,Russia,,,Hammer throw,,Unknown,3 months,,,,,Unknown,,
Gulfiya Khanafeyeva,,Russia,,,Hammer throw,,2007,33 months,,,,,Fraudulent substitution of urine,,
Yekaterina Khoroshikh,,Russia,,,Hammer throw,,2007,2 years,,,,,6?-methylandrostendione,,
Irina Khudoroshkina,,Russia,,,Shot put,,2004,2 years,,,,,Hydrochlorothiazide,,
Molly Killingbeck,,Canada,,,Sprinting,,1980's,,,,,,Self admittance of steroid use (Dubin inquiry),,
Gary Kinder,,United States,,,Decathlon,,1991,(2 years) overturned due to flaws in testing protocol,,,,,Failure to appear for mandatory drug test,,
Benjamin Kipkurui,,Kenya,,,Middle distance,,2013,3 months,,,,,,,
Abraham Kiprotich,,France,,,Marathon,,2013,2 years,,,,,EPO,,
Nabil Kirame,,Morocco,,,Discus throw,,2006,Public warning,,,,,Cannabis,,
Nabil Kirame,,Morocco,,,Discus throw,,2015,4 years,,,,,Stanozolol,,
UmmÅu Kiraz,,Turkey,,,Long distance,,2011,2 years and 6 months,,,,,Biological passport,,
Sergey Kirdyapkin,,Russia,,,Race walking,,2009,3 years and 2 months,,,,,Biological passport,,
Mathew Kipkoech Kisorio,,Kenya,,,Long distance,,2012,2 years,,,,,Norandrosterone,,
Rael Kiyara,,Kenya,,F,Long distance,,28/05/2012,2 years,18/07/2014,,,,Norandrosterone,,
Svetlana Klyuka,,Russia,,F,Middle distance,,15/08/2009,2 years,09/02/2014,,,,Biological passport,,
Markus Koistinen,,Finland,,,Shot put,,1996,4 years,,,,,hCG (Human chorionic gonadotropin),,
Nemanja Kojic,,Serbia,,,Middle distance,,2015,2 years,,,,,Furosemide,,
Teodora Kolarova,,Bulgaria,,,Middle distance,,2007,2 years,,,,,Testosterone,,
Nikolay Kolev,,Bulgaria,,,Discus throw,,1987,,,,,,,,
Francisca Koki,,Kenya,,,Hurdling,,2015,4 years,,,,,Furosemide,,
Koki Manunga,,Kenya,,,Hurdling,,2015,4 years,,,,,Furosemide,,
Eirini Kokkinariou,,Greece,,,Steeplechase,,2009,4 years,,,,,Biological passport,,
Mikulas Konopka,,Slovakia,,,Shot put,,2002,2 years,,,,,Stanozolol,,
Mikulas Konopka,,Slovakia,,,Shot put,,13/05/2008,Life ban,,,,,Methandienone,,
Ilya Konovalov,,Russia,,,Hammer throw,,2006,2 years,,,,,Acetazolamide,,
Mariya Konovalova,,Russia,,,Long distance,,2009,2 years,,,,,Biological passport,,
Oleksandr Korchmid,,Ukraine,,,Pole vault,,2009,Public warning,,,,,Ephedrine,,
Aleksey Korolev,,Russia,,,Hammer throw,,2009,2 years,,,,,Methandienone,,
Irina Korzhanenko,,Russia,,,Shot put,,1999,2 years,,,,,Steroids,,
Irina Korzhanenko,,Russia,,,Shot put,,2004,Life ban,,,,,Stanozolol,,
Yekaterina Kostetskaya,,Russia,,,Middle distance,,2011,2 years,,,,,Biological passport,,
Dmytro Kosynskyy,,Ukraine,,M,Javelin throw,,18/06/2011,2 years,19/08/2013,,,,Testosterone,,
Tatyana Kotova,,Russia,,,Long jump,,2005,2 years,,,,,Formestane,,
Tatyana Kotova,,Russia,,,Long jump,,(Sample retested 2013),,,,,,Formestane,,
Zoltan Kovago,,Hungary,,,Discus throw,,11/08/2011,2 years,05/07/2014,,,,Refusal to submit,,
Ayman Kozhakhmetova,,Kazakhstan,,,Race walk,,2013,2 years,,,,,"Testosterone,EPO",,
Katrin Krabbe,,Germany,,,Sprinting,,1992,3 years,,,,,Clenbuterol,,
Inessa Kravets,,Ukraine,,,Long/Triple jump,,1993,3 months,,,,,Stimulant,,
Inessa Kravets,,Ukraine,,,Long/Triple jump,,2000,2 years,,,,,Anabolic steroid,,
Lyubov Kremlyova,,Russia,,,Middle distance,,1995,4 years,,,,,Steroids,,
Heidi Krieger,,East Germany,,,Shot put,,1980's,?,,,,,Self admission:Anabolic steroids,,
(Andreas Krieger),,East Germany,,,Shot put,,1980's,?,,,,,Self admission:Anabolic steroids,,
Svetlana Krivelyova,,Russia,,,Shot put,,2004,2 years,,,,,Oxandrolone,,
Svetlana Krivelyova,,Russia,,,Shot put,,(Sample retested 2012),,,,,,,,
Valentin Kruglyakov,,Russia,,,Sprinting,,2013,4 years,,,,,Nandrolone,,
Pavel Kryvitski,,Belarus,,,Hammer throw,,2015,4 years,,,,,HGH,,
Wioletta Kryza,,Poland,,,Long distance,,2002,2 years,,,,,Testosterone,,
Wioletta Kryza,,Poland,,,Long distance,,2012,8 years,,,,,,,
Anastassya Kudinova,,Kazakhstan,,,Sprinting,,2016,4 years,,,,,Drostanolone,,
Anil Kumar,,India,,,Discus throw,,2005,2 years,,,,,Norandrosterone,,
Eyerusalem Kuma,,Ethiopia,,,Long distance,,2013,2 years,,,,,EPO,,
Kagisho Kumbane,,South Africa,,M,Sprinting,,25/02/2012,2 years,14/03/2014,,,,Norandrosterone,,
Yeliz Kurt,,Turkey,,,Middle distance,,2013,2 years,,,,,Stanozolol,,
Damian Kusiak,,Poland,,M,Shot put,,15/06/2012,2 years,14/06/2014,,,,Stanozolol,,
Olga Kuzenkova,,Russia,,,Hammer throw,,2004,2 years,,,,,Formestane & Hydroxytestosterone,,
Olga Kuzenkova,,Russia,,,Hammer throw,,(Sample retested 2012),,,,,,,,
Cosmas Kyeva,,Kenya,,M,,,05/02/2012,2 years,26/02/2014,,,,Norandrosterone,,
Mikko Kyyro,,Finland,,,Discus throw,,2007,Public warning,,,,,Methylprednisolone,,
Abdelhadi Labali,,Morocco,,,Middle distance,,2012,2 years,,,,,Biological passport,,
Soumiya Labani,,Morocco,,,"Long distance, cross country",,2003,2 years,,,,,Nandrolone,,
Florent Lacasse,,France,,,Middle distance,,2007,2 years,,,,,Testosteroneprecursors,,
Amine Laalou,,Morocco,,,Middle distance,,2012,2 years,,,,,Furosemide,,
Amine Laalou,,Morocco,,,Middle distance,,2016,8 years,,,,,EPO,,
Aziz Lahbabi,,Morocco,,,Long distance,,2011,6 months,,,,,Methylhexanamine,,
Laiyuan Gao,,China,,,Long distance,,2012,2 years,,,,,Anabolic steroids,,
Burger Lambrechts,,South Africa,,,Shot put,,2001,2 years,,,,,Stanozolol,,
Enrique Llanos,,Puerto Rico,,,Hurdling,,2008,2 years,,,,,Stanozolol,,
Elena Lashmanova,,Russia,,,Race walking,,2014,2 years,,,,,GW1516,,
Svetlana Laukhova,,Russia,,,Hurdling,,2001,,,,,,,,
Bola Gee Lawal,,Nigeria,,,Sprinting,,2010,2 years,,,,,Methandienone,,
Jeff Laynes,,United States,,,Sprinting,,2001,2 years,,,,,Stanozolol,,
Yuliya Leantsiuk,,Belarus,,,Shot put,,2008,2 years,,,,,Testosterone,,
Suzette Lee,,Jamaica,,,Triple jump,,2005,Public warning,,,,,Salbutamol,,
Mikhail Lemaev,,Russia,,,Marathon,,2009,2 years,,,,,Biological passport,,
Assunta Legnante,,Italy,,,Shot put,,2000,Public warning,,,,,,,
Asmae Leghzaoui,,Morocco,,,Middle distance,,2003,2 years,,,,,EPO,,
Aleksey Lesnichiy,,Belarus,,,High jump,,2004,2 years,,,,,Clenbuterol,,
Mikolaj Lewanski,,Poland,,,Sprinting,,2007,Public warning,,,,,Cannabis,,
Carl Lewis,,United States,,M,"Sprinting, long jump",,,,,,,,"Pseudoephedrine, ephedrine & phenylpropanolamine(inadvertent use)",,
Mark Lewis-Francis,,Great Britain,,M,Sprinting,,2005,Public warning,,,,,Cannabis,,
Li Ji,,China,,,Long distance,,2001,2 years,,,,,,,
Elmar Lichtenegger,,Austria,,,Hurdling,,2003,15 months,,,,,Nandrolone,,
Elmar Lichtenegger,,Austria,,,Hurdling,,20/11/2007,Life ban,,,,,Norandrosterone,,
Lim Eun-ji,,South Korea,,,Pole vault,,2010,3 months,,,,,Hydrochlorothiazide & Chlorothiazide,,
Lim Hee-nam,,South Korea,,,Sprinting,,2011,6 months,,,,,Methylhexaneamine,,
Lin Na,,China,,,Middle distance,,2002,2 years,,,,,,,
Piotr Lisek,,Poland,,M,Pole vault,,15/06/2012,6 months,14/12/2012,,,,Methylhexaneamine,,
Lin Yili,,China,,,,,,,,,,,,,
Liu Hong,,China,,,Race walk,,2016,1 month,,,,,Higenamine,,
Liu Huyuan,,China,,,Long distance,,2002,2 years,,,,,,,
Liu Jing,,China,,,Hurdling,,2001,2 years,,,,,Refusal to submit to doping control,,
